id,video_id,classificacao_desc,classificacao_score,created_date,observacoes_ia,nivel_tecnico,intencao_principal,intencao_secundaria,linguagem
1d8c2013-9f38-4523-83c6-e87d4e55a864,39dqM8UKq0s,superficial,0.85,2025-06-21 19:57:31.905027+00,"Discussão geral sobre IA e emprego, sem detalhes técnicos profundos, focado em aspectos continentais e sociais.",0.25,informativo,educacional,neutra
1eb1eb09-96dc-4c3e-aea0-739f9af836d2,0-RgntPt1vQ,clickbait,0.90,2025-06-21 20:13:13.917451+00,"Título e descrição apelativos; conteúdo leve e divertido sobre IA, sem profundidade técnica ou análise detalhada.",0.1,entretenimento,informativo,sensacionalista
200309c0-34a2-415d-bc97-0feda323417c,VjjOEMuTtx4,superficial,0.90,2025-06-21 18:19:28.649148+00,"Vídeo curto, estilo divertido e animado, sem conteúdo técnico aprofundado ou análise, predominantemente para entretenimento.",0.1,entretenimento,nenhuma,neutra
2005a308-f63c-4a46-8422-3ad9b7de07c9,GSq9nRTNiOw,clickbait,0.85,2025-06-21 17:23:10.644609+00,"Título e descrição exageram avanços, estilo sensacionalista que visa atrair cliques mais que detalhar tecnicamente.",0.4,informativo,entretenimento,sensacionalista
202187ba-4072-443e-907d-675593bbd966,h9Pk5iNDXMk,híbrido,0.90,2025-06-21 19:57:31.905027+00,"Vídeo mescla dicas práticas com narrativa de sucesso e vendas, equilibrando conteúdo útil e apelo mercadológico para iniciantes em IA.",0.45,comercial,educacional,neutra
204a30b4-9c1f-476d-a3f3-8aa5be3d403b,5CnYMm_oMUQ,superficial,0.90,2025-06-21 18:10:32.310408+00,"Vídeo curto e viral com título e tags que exploram mistério e curiosidade, pouco conteúdo técnico ou aprofundado sobre IA.",0.1,entretenimento,nenhuma,sensacionalista
208f5e10-3d8b-4d61-ab17-58424121376f,1ElHXqu2OGk,superficial,0.90,2025-06-21 17:23:10.644609+00,"Vídeo aborda opinião e regulação sobre IA generativa, não detalhando aspectos técnicos profundos ou científicos.",0.2,informativo,opinativo,neutra
20e35c69-143f-404d-afdb-bfe5d05ae2d9,qU3fmidNbJE,conteúdo técnico,0.95,2025-06-21 19:57:31.905027+00,"Vídeo detalhado e aprofundado sobre agentes de IA, com links e recursos para aprendizado e aplicação real. Conteúdo técnico e educativo.",0.9,educacional,comercial,neutra
20e436ad-d2a7-4357-a107-daf155542a81,zfCQj0aS9hc,superficial,0.85,2025-06-21 17:13:41.778757+00,"Vídeo curto e popular, com conteúdo simples e pouco aprofundado, foca em entretenimento usando IA, sem explicações técnicas detalhadas.",0.1,entretenimento,nenhuma,neutra
21129e19-ee95-4a2b-9398-209e9ceb430d,mnULGqkVONI,conteúdo técnico,0.95,2025-06-21 17:13:41.778757+00,"Curso extenso e detalhado com explicações técnicas, exemplos práticos e abordagem profunda sobre ChatGPT e IA generativa.",0.92,educacional,comercial,neutra
212d3b46-b668-43e8-8b74-61697e35fbfa,l6HE5nCJS2A,superficial,0.95,2025-06-21 17:23:10.644609+00,"Vídeo recreativo com uso superficial de IA, centrado em humor e cenas dramáticas, sem aprofundamento técnico ou educativo.",0.1,entretenimento,nenhuma,neutra
217358d0-fb2d-4561-b42c-13d316ffda96,jVZMFvs0DGA,clickbait,0.92,2025-06-21 18:10:32.310408+00,"Título e descrição alarmistas indicam conteúdo sensacionalista e superficial, focado em atrair atenção, não aprofundando aspectos técnicos da IA.",0.1,alerta/risco,entretenimento,sensacionalista
21c60116-6ad3-4a0b-8708-bcc32a2aaebd,bI7FZkyZ4SE,superficial,0.90,2025-06-21 18:19:28.649148+00,"Vídeo muito breve com explicação simples e introdutória de machine learning para iniciantes, sem detalhes técnicos aprofundados.",0.3,educacional,informativo,neutra
21ceeba9-64e1-4417-b1da-74fe05250e28,HbAIT-VQKik,clickbait,0.20,2025-06-21 16:54:07.829199+00,"Os títulos e descrições sugerem abordagens superficiais e alarmistas sobre IA, podendo gerar sensacionalismo.",0.1,informativo,nenhuma,neutra
220e0d4d-62e4-4bb8-ae48-5aab32600eb9,9nVEfjmDlVk,conteúdo técnico,0.90,2025-06-21 18:19:28.649148+00,"Tutorial detalhado sobre ferramenta AI avançada para filmmaking, com foco em uso prático e técnico para criativos.",0.85,educacional,demonstrativo,neutra
2210c84d-fd5d-482b-b6f6-4575aa0dbd27,N09aOjK9BI0,superficial,0.90,2025-06-21 18:19:28.649148+00,"Vídeo oferece visão geral sobre o futuro da IA, sem aprofundar tecnicamente nem detalhar conceitos avançados.",0.3,educacional,informativo,neutra
222dd528-bfd2-492f-b597-c5dfa91430df,euHChKln4PU,híbrido,0.85,2025-06-21 17:23:10.644609+00,"Análise técnica superficial combinada com promoção e vendas de produtos Samsung com IA, mesclando informação e marketing.",0.55,comercial,informativo,neutra
22af7de6-4f5f-4967-b683-19b4e1240d5c,Itt96kg6AKs,clickbait,0.90,2025-06-21 18:10:32.310408+00,"Título sensacionalista e curta duração indicam foco em entretenimento, pouco técnico, visando atrair visualizações rapidamente.",0.1,entretenimento,nenhuma,sensacionalista
22b515b2-25c5-4a9c-a294-052ae8f6888a,4D5L7Tjgcr0,clickbait,0.95,2025-06-21 17:13:41.778757+00,"Título e descrição apelam para lucro rápido e impacto exagerado, conteúdo curto e pouco detalhado, típico de clickbait.",0.1,comercial,motivacional,sensacionalista
22c16be2-7c16-4d46-9293-43f1dac06374,v6pDubPbpqQ,conteúdo técnico,0.90,2025-06-21 18:10:32.310408+00,"Vídeo detalha uso avançado de ChatGPT com dicas práticas e explica conceitos técnicos, focando em aprendizado e aplicação real do tema.",0.85,educacional,informativo,neutra
22d53c34-b77a-45c0-9f93-a7d2d9775e90,-6isy7Rr8ZI,superficial,0.90,2025-06-21 18:22:15.001132+00,"Vídeo aborda inteligência artificial em investimentos com foco informativo e acessível, pouco aprofundamento técnico.",0.3,informativo,comercial,neutra
236321e9-3ed8-4e03-b289-4c64c1ac43af,u5Sr_7vV1ZE,superficial,0.85,2025-06-21 18:22:15.001132+00,"Vídeo aborda reconhecimento de arte gerada por IA de forma leve, com foco educativo e promoções de produtos relacionados.",0.25,educacional,comercial,neutra
23aa0d47-e76a-486e-96dc-0f309a908ba0,jXR2c6DzAl4,híbrido,0.90,2025-06-21 17:13:41.778757+00,"Vídeo explica uso prático do GPT-4o com detalhes razoáveis, misturando informação técnica e aplicação simplificada para usuários comuns.",0.65,educacional,informativo,neutra
23c3047a-be1d-42a9-b6ff-f25cef1fea94,j8VFiOH0-SI,híbrido,0.87,2025-06-21 17:13:41.778757+00,"Vídeo combina aspectos técnicos com narrativas motivacionais e culturais, promovendo mudança e empoderamento tecnológico na África.",0.55,motivacional,informativo,neutra
23d8ef65-6710-4e3c-82ce-b62c879a24b7,rOdGiF7403c,clickbait,0.93,2025-06-21 17:13:41.778757+00,"Foco em ganhos rápidos e viralização fácil com IA, linguagem apelativa e pouca profundidade técnica, incentiva consumo comercial.",0.15,motivacional,comercial,sensacionalista
2431f01d-5cae-4f04-b3e9-ce013227b000,RsGKzpBaLow,superficial,0.70,2025-06-21 16:54:07.829199+00,Vídeo em coreano sobre transição para uso do Gemini AI em aplicativos Flutter.,0.2,informativo,nenhuma,neutra
2432a8e6-be76-44bf-9e23-9b58859d11e0,GawoDvRzg58,híbrido,0.87,2025-06-21 18:10:32.310408+00,"Vídeo mistura história e conceitos técnicos com linguagem acessível, incluindo conteúdo educacional e promoção de serviços educacionais.",0.7,educacional,informativo,neutra
244c0a52-ef6c-4cdb-bba1-5a26aff05a72,vrFN1N9_Wp8,clickbait,0.95,2025-06-21 18:10:32.310408+00,"Título apelativo e surpreendente com foco em viralizar, pouco conteúdo técnico e forte apelo sensacionalista.",0.1,entretenimento,nenhuma,sensacionalista
2472bb8a-8cd4-4a56-bc7a-af47064b1440,oxQ65WlwiuU,conteúdo técnico,0.90,2025-06-21 17:23:10.644609+00,Análise detalhada e comparativa de IA com explicações técnicas e dicas práticas para uso avançado do DeepSeek.,0.85,educacional,informativo,neutra
24ec0df1-9666-40e3-85c7-9f091e82370d,BriEa7aVeWs,superficial,0.95,2025-06-21 17:13:41.778757+00,"Vídeo curto, humorístico, sem conteúdo técnico ou educacional relevante sobre IA, focado em entretenimento leve.",0.05,entretenimento,nenhuma,neutra
2503dfe2-4a5a-4762-b603-f2ebdcf878de,Kk9Il8h19yA,superficial,0.90,2025-06-21 18:22:15.001132+00,"Vídeo curto e descontraído que sugere uso do ChatGPT, focado mais em interação leve que em conteúdo técnico detalhado.",0.2,educacional,entretenimento,neutra
253a33fd-4136-447a-a939-3656601f2b43,O4osWOWWxiE,híbrido,0.90,2025-06-21 17:23:10.644609+00,Vídeo mistura demonstração técnica das funções do Galaxy S25 com intenção comercial clara em divulgação e promoções.,0.55,demonstrativo,comercial,neutra
25533ddf-c46d-4c55-9087-00b9e538430c,JBj5DQPuS_c,superficial,0.90,2025-06-21 19:57:31.905027+00,"Vídeo explica uso básico do ChatGPT 4o para iniciantes, sem aprofundar tecnicamente, com linguagem acessível e passo a passo simples.",0.3,educacional,informativo,neutra
25709c44-a961-4e24-b56d-954b54eb10a2,T-bhQWDLcGc,híbrido,0.90,2025-06-21 19:57:31.905027+00,"Conteúdo aborda impactos sociais e técnicos da IA, combinando explicações técnicas com opiniões e tendências atuais.",0.65,educacional,opinativo,neutra
25cd997f-faf9-47a6-866e-4b2441a9c3f7,8D0yuN-37vo,clickbait,0.95,2025-06-21 18:19:28.649148+00,"Título sensacionalista e breve, busca viralizar sem conteúdo técnico aprofundado ou educativo significativo.",0.1,entretenimento,nenhuma,sensacionalista
25f1e204-f986-4ff6-a1e5-d03a6fd5fd15,vER1ysByXOU,híbrido,0.85,2025-06-21 18:19:28.649148+00,"Discussão filosófica sobre IA, alerta sobre riscos, com conteúdo técnico moderado e abordagem opinativa, equilibrando informação e reflexão.",0.65,alerta/risco,informativo,neutra
26baf189-c287-43ee-9259-b0fce5c1d7da,1cHZ37T_HQg,híbrido,0.85,2025-06-21 17:13:41.778757+00,"Vídeo mistura demonstração de IA para crianças com elementos promocionais, pouco técnico, focado em entretenimento e aprendizado infantil.",0.3,educacional,comercial,neutra
26c444e9-92a7-4286-91b2-4ac19f93f97f,bGwdwF1vlvQ,conteúdo técnico,0.90,2025-06-21 17:13:41.778757+00,"Vídeo detalha passo a passo para iniciantes em IA com código e aplicação prática, equilibrando teoria e prática de modo simples e claro.",0.8,educacional,comercial,neutra
26d32368-45be-4515-a8b5-3e9ed2c5f9ce,x_ZhqjbgdAQ,conteúdo técnico,0.90,2025-06-21 18:22:15.001132+00,"Explica conceitos profundos de consciência e limitações das IAs com embasamento filosófico e matemático, mantendo linguagem acessível e precisa.",0.85,educacional,informativo,neutra
2725eed5-fbb6-4dcb-ae66-1bc7c7783157,9lN0uYGLXy4,conteúdo técnico,0.90,2025-06-21 17:23:10.644609+00,"Vídeo técnico focado em aplicação de IA na medicina, dirigido a profissionais, com linguagem clara e objetiva.",0.85,educacional,informativo,neutra
2762cfa4-d597-4de7-9b70-8d41f7fb68fc,WxEhoBgQga0,híbrido,0.90,2025-06-21 18:10:32.310408+00,"Documentário detalhado com foco em tecnologia militar e IA, mistura narrativa técnica e informativa para público geral.",0.75,documental,informativo,neutra
2795536d-14ce-4764-ad40-4500ee15c5cb,vxhQqCqvcPg,conteúdo técnico,0.90,2025-06-21 18:19:28.649148+00,"Vídeo detalhado sobre AGI, com explicações técnicas e exemplos, visando educar e informar o público sobre avanços e desafios.",0.85,educacional,informativo,neutra
27bf78be-203e-4b7e-858e-ce0e41663db7,9yLZKa5m270,superficial,0.90,2025-06-21 19:57:31.905027+00,"Vídeo traz dados e explicações simples sobre custos energéticos do ChatGPT, sem aprofundar tecnicamente o tema.",0.3,informativo,alerta/risco,neutra
27dd6ddc-c43f-44be-9f19-e9830c6cdae5,q4bb_pZg5g0,superficial,0.85,2025-06-21 18:19:28.649148+00,"Vídeo curto, informal e voltado para entretenimento com pouco conteúdo técnico, focado em experiência pessoal sem aprofundamento técnico.",0.1,entretenimento,motivacional,neutra
280d614e-8b73-47d9-bace-a69d24bf097a,tYV60-c-Jmo,híbrido,0.85,2025-06-21 18:19:28.649148+00,Vídeo explora avanços e impactos da IA com equilíbrio entre explicações técnicas e linguagem acessível ao público geral.,0.65,informativo,educacional,neutra
284a23a7-0883-4556-abb6-006477601a12,ntAac8g4ClE,superficial,0.90,2025-06-21 18:10:32.310408+00,"Vídeo curto com foco em curiosidade sobre tecnologia simples, pouca profundidade técnica, conteúdo mais leve e acessível.",0.2,informativo,entretenimento,neutra
28a74755-4b50-49fe-ba71-954de429cd2a,iT6HYdqBkdQ,clickbait,0.80,2025-06-21 16:54:07.829199+00,"O vídeo tem um título sensacionalista e foco em ganhar dinheiro, não fornecendo conteúdo técnico relevante sobre IA.",0.2,comercial,nenhuma,neutra
28b0937b-4111-4e39-b410-1c69d9526bc5,-1BsfNKlsfs,superficial,0.90,2025-06-21 17:13:41.778757+00,"Vídeo curto com foco em animais fofos, conteúdo simples e sem aprofundamento técnico ou educacional.",0.1,entretenimento,nenhuma,neutra
28bf1b96-d94b-41cc-9743-b1b11669f283,JKL4zXae8mQ,superficial,0.90,2025-06-21 18:10:32.310408+00,"Vídeo curto com tema visual, sem conteúdo técnico, focado em mostrar cultura para entretenimento e curiosidade.",0.1,entretenimento,nenhuma,neutra
28cb1d6a-9257-4217-8d17-b65ebfc4bd0e,59uBIF0W8-o,clickbait,0.90,2025-06-21 17:23:10.644609+00,"Título alarmista sugere exagero; conteúdo provável é superficial e voltado a atrair audiência, sem aprofundamento técnico.",0.1,entretenimento,nenhuma,sensacionalista
291d9e4a-2c26-4abd-ac6a-72dbc19b2ff9,66DbAL-Fp94,clickbait,0.90,2025-06-21 20:13:13.917451+00,"Vídeo curto com título chamativo, pouca profundidade técnica, foca em divertir e atrair cliques usando IA de forma superficial.",0.1,entretenimento,motivacional,sensacionalista
296e6f7e-17d9-40d9-b2e0-aef9ca298391,MTn9pTVjM2E,conteúdo técnico,0.90,2025-06-21 16:54:07.829199+00,Apresentação de 4 funcionalidades de inteligência artificial do Galaxy S24 de forma técnica e informativa.,0.8,informativo,educacional,neutra
2b04eb43-78b1-4701-90a8-2a546f1dd9a6,e6c_uwQwV9A,híbrido,0.90,2025-06-21 18:10:32.310408+00,"Vídeo técnico com exemplos detalhados, mas inclui patrocínios e chamadas comerciais, equilibrando educação e promoção de ferramentas AI.",0.75,educacional,comercial,neutra
2b35e751-9060-4d2c-8832-e2fbca79b0a4,Pkg44ZwD880,híbrido,0.85,2025-06-21 18:19:28.649148+00,"Vídeo compara inteligência artificial entre dispositivos de forma acessível e moderadamente técnica, com tom leve e chamativo para público geral.",0.55,comparativo,entretenimento,neutra
2b599266-3e3f-41fe-8c26-c32ff25f6c50,YTcmvhhCFZI,superficial,0.90,2025-06-21 17:13:41.778757+00,"Vídeo curto e direto promovendo produto Google Gemini, com pouca profundidade técnica e foco em divulgação comercial.",0.1,comercial,informativo,neutra
2b9b6189-8438-41e8-8e57-5e88f7d60c96,-RN_zRAnmJY,superficial,0.90,2025-06-21 17:13:41.778757+00,"Vídeo recrea cenas do filme usando IA, foco em entretenimento com informações básicas, pouca técnica aprofundada.",0.2,entretenimento,informativo,neutra
2be4ea1b-2e4d-4fba-97ed-a2431153faed,GzDUEm7sYjI,superficial,0.90,2025-06-21 18:10:32.310408+00,"Vídeo curto mostra construção tribo Maasai, com pouca profundidade técnica e foco em mostrar cultura e curiosidade visual.",0.1,entretenimento,informativo,neutra
2d4415ab-e561-4ee1-88e7-82d3e02335a4,1obaG2xlgkU,superficial,0.85,2025-06-21 18:22:15.001132+00,"Vídeo focado em preparação para concurso com conteúdo básico, linguagem simples e intenção educacional e motivacional.",0.3,educacional,motivacional,neutra
2d8b3c8b-5e04-4be5-8a44-0c2d8ee1ab43,id4YRO7G0wE,híbrido,0.90,2025-06-21 18:19:28.649148+00,"Vídeo equilibrado, com explicações técnicas moderadas e reflexões sobre riscos e oportunidades da IA, próprio do formato TED Talks.",0.75,informativo,educacional,neutra
2d9e2686-583d-42d8-8317-f98d12411331,nVyD6THcvDQ,híbrido,0.90,2025-06-21 17:13:41.778757+00,"Vídeo mistura explicações técnicas iniciais com promoção de cursos e ferramentas, equilibrando educação e comercialização.",0.7,educacional,comercial,neutra
2e97c075-af9a-45c0-b060-2ac5a5b3811d,LrkAORPiaEA,híbrido,0.85,2025-06-21 17:13:41.778757+00,"Conteúdo mistura opinião crítica com promoção de produtos, pouco aprofundado tecnicamente, linguagem sensacionalista e apelo comercial claro.",0.4,opinativo,comercial,sensacionalista
2e9ab666-f7ff-446b-b4da-1716f08182ed,CEs6K4_6b28,clickbait,0.90,2025-06-21 17:13:41.778757+00,"Título e duração curtos indicam abordagem superficial e chamativa com foco em atrair cliques, pouco conteúdo técnico efetivo.",0.1,motivacional,nenhuma,sensacionalista
2ea8877b-1165-40f9-a00b-424146d73db5,ZiBHjj9fCO8,superficial,0.90,2025-06-21 19:57:31.905027+00,"Vídeo curto com intuito de entretenimento usando IA para animação simples, sem aprofundamento técnico ou explicações detalhadas.",0.1,entretenimento,nenhuma,neutra
2eccd0e4-7f5c-4526-9a46-3c80e87f4687,pF-sHp9SaP4,clickbait,0.90,2025-06-21 17:13:41.778757+00,"Título exagera impactos do IA destruindo empregos, conteúdo curto e pouco técnico, foco em gerar impacto emocional imediato.",0.1,alerta/risco,nenhuma,sensacionalista
2ee85626-5edc-406d-9ef4-127a9d73065e,PK7whePv5Gw,conteúdo técnico,0.80,2025-06-21 16:54:07.829199+00,Vídeo utilizando inteligência artificial para responder a brincadeiras em formato de entretenimento.,0.5,entretenimento,educacional,neutra
2fb7eadd-e453-4801-94db-f57f28b8657a,rcFKdG6P_ww,conteúdo técnico,0.95,2025-06-21 19:57:31.905027+00,"Curso detalhado sobre ChatGPT, explica funções, modelos e aplicações práticas com alta profundidade técnica e enfoque educacional.",0.9,educacional,comercial,neutra
2fc5fef2-015d-436e-9853-eb09652e494a,D5UAiOEYQUI,híbrido,0.85,2025-06-21 17:23:10.644609+00,"Vídeo usa IA para criar história divertida com crítica implícita, misturando entretenimento e opinião em linguagem sensacionalista.",0.25,entretenimento,opinativo,sensacionalista
304f82c0-1026-4e2d-8f37-12b8c87cf4e7,8cN5WDeFgR4,conteúdo técnico,0.95,2025-06-21 18:10:32.310408+00,"Abordagem detalhada e rigorosa sobre LQMs, focada em princípios científicos e aplicações reais avançadas em IA.",0.9,educacional,informativo,acadêmica
3056b1e0-ba52-448c-a036-e06a77d17dda,e1DfvzEmXwU,superficial,0.95,2025-06-21 18:10:32.310408+00,"Vídeo curto com conteúdo AI focado em diversão e humor, sem profundidade técnica ou explicações detalhadas.",0.1,entretenimento,nenhuma,neutra
3079c95f-dd7e-4317-88d3-5dcd0d63362c,bfgGKnuIhqI,superficial,0.95,2025-06-21 19:57:31.905027+00,"Vídeo curto focado em apresentar produto com poucas informações técnicas, com intenção comercial clara e linguagem objetiva.",0.1,comercial,informativo,neutra
30af8977-30b4-4ef6-a7d8-3fdc30564d0c,BZs4U4oQViQ,superficial,0.95,2025-06-21 17:13:41.778757+00,"Vídeo curto de comédia sem conteúdo técnico, focado apenas em entretenimento com linguagem simples e direta.",0.05,entretenimento,nenhuma,neutra
30b1a3c4-b2dc-4ec3-a7d7-dacb67caeb8d,RCCRxVL_ulE,clickbait,0.95,2025-06-21 18:19:28.649148+00,"Vídeo muito curto, alto engajamento e hashtags desconexas indicam foco em viralizar, sem aprofundamento técnico.",0.1,entretenimento,nenhuma,sensacionalista
30f4a5be-a875-4714-bb04-f67df1f5898b,773W1Z1-WUI,híbrido,0.85,2025-06-21 18:10:32.310408+00,"Vídeo mistura motivação e dicas práticas, com pouca profundidade técnica e forte apelo a vendas e ganhos rápidos.",0.4,comercial,educacional,neutra
31053a70-c73f-48e5-8c4c-09cef5a75260,keaFLe5hgVk,superficial,0.70,2025-06-21 16:54:07.829199+00,Vídeo de entretenimento sobre inteligência artificial sem profundidade técnica.,0.2,entretenimento,nenhuma,neutra
31571b96-af8c-468d-a8d7-1c8b5b3b2de7,Ntv9fdsCPIo,clickbait,0.90,2025-06-21 17:23:10.644609+00,"Título sensacionalista que exagera impacto; pouco conteúdo técnico detalhado, mais foco em atrair visualizações.",0.3,entretenimento,informativo,sensacionalista
31e0bb92-1366-41c2-b5a4-68fdf247bf00,b8R2CJCwraU,superficial,0.95,2025-06-21 18:10:32.310408+00,"Vídeo focado em humor com IA, sem aprofundamento técnico, estilo leve e sensacionalista para entreter o público.",0.1,entretenimento,nenhuma,sensacionalista
321354ce-b9e2-484f-9e6a-fd621c96bab0,Wu_a48DPNQY,superficial,0.90,2025-06-21 19:57:31.905027+00,"Vídeo curto, focado em diversão usando IA para efeito visual, sem aprofundamento técnico ou análise complexa.",0.1,entretenimento,nenhuma,neutra
326541ad-7135-4074-b257-3aadf1bda27d,sFbfDOUi7Ic,superficial,0.90,2025-06-21 19:57:31.905027+00,"Vídeo curto, infantil, com linguagem simples, demonstrações básicas sem aprofundamento técnico ou análise complexa.",0.1,entretenimento,educacional,neutra
32b8e08e-ecab-4798-b3d1-f1f8e9eda893,hhTil3abdjM,híbrido,0.90,2025-06-21 18:22:15.001132+00,Vídeo combina análise técnica detalhada com título sensacionalista para atrair visualizações sobre limitações reais de IA atuais.,0.75,informativo,educacional,neutra
32d2463a-457b-4912-a2d5-2d1c9e61ec1a,geaXM1EwZlg,híbrido,0.90,2025-06-21 17:23:10.644609+00,"Análise equilibrada entre contexto técnico e relato acessível sobre IA em guerra, com intenção educacional e informativa predominante.",0.7,informativo,educacional,neutra
3374e84b-2bfe-4f9f-9426-0c227b0616c7,b8Bx2oNJWlI,superficial,0.50,2025-06-21 16:54:07.829199+00,Conteúdo superficial com ênfase em motivação e desenvolvimento pessoal.,0.2,motivacional,nenhuma,neutra
3397d154-54bb-4239-8a8c-809566bb04a1,VZI7ZM2jyqY,clickbait,0.95,2025-06-21 18:19:28.649148+00,"Título e descrição sensacionalistas e curtos, sem conteúdo técnico ou informativo relevante, foco em atrair visualizações.",0.1,entretenimento,nenhuma,sensacionalista
33a43536-108d-48b5-8498-e255d2c7fb1e,WYSnAKTHQw4,superficial,0.90,2025-06-21 18:22:15.001132+00,Vídeo informa sobre políticas públicas e investimentos em IA sem aprofundar questões técnicas ou análises detalhadas.,0.25,informativo,alerta/risco,neutra
33ce6694-47fe-47f4-ba5a-6eba8a1892f1,lAxPNTT0dOc,superficial,0.85,2025-06-21 17:23:10.644609+00,"Vídeo com caráter informativo leve sobre IA generativa e mercado de trabalho, sem aprofundamento técnico detalhado.",0.3,informativo,educacional,neutra
33e58854-90ed-4921-9b29-497455ee5a42,pi-Dxe_BDJM,superficial,0.95,2025-06-21 18:19:28.649148+00,"Vídeo curto e divertido, usa IA para criação artística sem aprofundar em conceitos técnicos de inteligência artificial.",0.1,entretenimento,nenhuma,neutra
33f3c90b-6039-4f60-8030-2c36ffc63d35,vEQVp0KjmKM,clickbait,0.92,2025-06-21 18:22:15.001132+00,"Vídeo curto com título sensacionalista e foco em entretenimento, sem conteúdo técnico ou educativo relevante.",0.05,entretenimento,nenhuma,sensacionalista
341d5ebe-f1a4-4fad-bc02-0285b8bdb8d5,Sok_HHqiHY0,híbrido,0.85,2025-06-21 18:10:32.310408+00,Vídeo mistura técnicas técnicas com forte apelo comercial para ganhar dinheiro com canais automatizados de IA no YouTube.,0.65,comercial,educacional,neutra
341f8132-39f2-414b-8695-9c6ad1671495,fmOQcaN2ir0,superficial,0.90,2025-06-21 19:57:31.905027+00,"Vídeo curto, entretenimento com tema de IA sem aprofundamento técnico ou educativo.",0.1,entretenimento,nenhuma,neutra
3458ae80-3d3c-47f5-aa93-9e7289686572,aFjvudN0vMg,clickbait,0.90,2025-06-21 17:23:10.644609+00,"Título e formato curto indicam foco em atrair cliques com sensacionalismo, não aprofundando conteúdos técnicos.",0.15,alerta/risco,entretenimento,sensacionalista
348c6ced-1e9e-44b9-bfdb-55863287c626,cQohvpGWC_c,superficial,0.90,2025-06-21 19:57:31.905027+00,"Vídeo curto e popular, com abordagem geral e não técnica sobre o tema da inteligência artificial no futuro.",0.15,informativo,entretenimento,neutra
34b58d58-659f-416e-a44a-1ea1c7605ccf,2D1rExarl4M,superficial,0.95,2025-06-21 18:19:28.649148+00,"Vídeo audiovisual focado em narrativa e estética, sem aprofundar em conteúdo técnico da IA, com forte caráter artístico e experimental.",0.15,entretenimento,experimental,neutra
35271562-b431-4039-bd3c-a365d7de340d,rVv3bVLZWJU,superficial,0.88,2025-06-21 17:23:10.644609+00,"Vídeo explica de forma simples como criar vídeos de animais com IA, foco prático e pouco detalhamento técnico.",0.25,educacional,entretenimento,neutra
35375c63-9ec6-47a4-83e1-d8504dbf0f6d,PS9x7yq7I7w,híbrido,0.85,2025-06-21 17:23:10.644609+00,Vídeo mistura dados reais com tom sensacionalista para impactar sobre o futuro das profissões e IA até 2030.,0.55,informativo,educacional,sensacionalista
